monthyear,actiongeo_long,actiongeo_lat,actiongeo_fullname
200304,-116.313,34.1347,Joshua Tree, California, United States
200304,-116.313,34.1347,Joshua Tree, California, United States
200304,-116.313,34.1347,Joshua Tree, California, United States
200304,-116.313,34.1347,Joshua Tree, California, United States
201204,65,33.0,Afghanistan
201204,-97,38.0,United States
201204,65,33.0,Afghanistan
201204,27.2359,-28.317,Du Plooy, Free State, South Africa
201204,149.217,-35.2833,Canberra, Australian Capital Territory, Australia
201204,115.833,-31.9333,Perth, Western Australia, Australia
201204,-105.365,24.8881,Bolsa, Durango, Mexico
201204,118.55,31.2726,Jiayuan, Anhui, China
201204,-95,60.0,Canada
201204,-72,47.5,Quebec, Quebec, Canada
201204,115.59,31.6081,Tang Hui, Anhui, China
201204,115.59,31.6081,Tang Hui, Anhui, China
201204,111.613,26.4239,Yongzhou, Hunan, China
201204,115.59,31.6081,Tang Hui, Anhui, China
201204,115.59,31.6081,Tang Hui, Anhui, China
201204,-93.9196,45.7326,Minnesota, United States
201204,32.1657,31.2526,Assir, Bur Said, Egypt
201204,151.217,-33.8833,Sydney, New South Wales, Australia
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-0.75,51.75,Buckinghamshire, Buckinghamshire, United Kingdom
201204,125,-21.0,Canning Basin, Western Australia, Australia
201204,-2,54.0,United Kingdom
201204,105.85,21.0333,Hanoi, Ha N?i, Vietnam, Republic Of
201204,33,35.0,Cyprus
201204,-2,54.0,United Kingdom
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,,NULL,
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,-73.9065,44.5828,Riverview, New York, United States
201204,127,37.5664,Seoul, Soul-t'ukpyolsi, South Korea
201204,-77.0364,38.8951,The White House, District of Columbia, United States
201204,9,51.0,Germany
201204,-5,32.0,Morocco
201204,95.85,21.7333,Meiktila, Sagain, Myanmar
201204,,NULL,
201204,35.5403,33.8344,Serail, Mont-Liban, Lebanon
201204,35.5403,33.8344,Serail, Mont-Liban, Lebanon
201204,30,27.0,Egypt
201204,37.6156,55.7522,Moscow, Moskva, Russia
201204,30,-2.0,Rwanda
201204,74.8656,31.6331,Amritsar, Punjab, India
201204,74.6169,31.3947,Khalra, Punjab, India
201204,100.579,13.7768,Huai Khwang, Krung Thep Mahanakhon, Thailand
201204,-73.9065,44.5828,Riverview, New York, United States
201204,-74.0282,40.6968,Hudson River, New York, United States
201204,-119.746,36.17,California, United States
201204,88.5333,27.75,Hema, India (general), India
201204,-81.717,27.8333,Florida, United States
201204,-119.746,36.17,California, United States
201204,-112.501,33.5,Maricopa County, Arizona, United States
201204,9.2,45.4667,Milan, Lombardia, Italy
201204,27.2359,-28.317,Du Plooy, Free State, South Africa
201204,28.0833,-26.2,Johannesburg, Gauteng, South Africa
201204,27.5667,-25.5833,Marikana, North-West, South Africa
201204,28.2294,-25.7069,Pretoria, Gauteng, South Africa
201204,28.2294,-25.7069,Pretoria, Gauteng, South Africa
201204,-2,54.0,United Kingdom
201204,-61.8,17.05,Antigua And Barbuda
201204,-61.8,17.05,Antigua And Barbuda
201204,115.833,-31.9333,Perth, Western Australia, Australia
201204,133,-27.0,Australia
201204,153.017,-27.5,Brisbane, Queensland, Australia
201204,152.959,-26.6261,Nambour, Queensland, Australia
201204,153,-26.5,Sunshine Coast, Queensland, Australia
201204,118.611,-20.3121,Port Hedland, Western Australia, Australia
201204,149.217,-35.2833,Canberra, Australian Capital Territory, Australia
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,133,-27.0,Australia
201204,133,-27.0,Australia
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,-74.9384,42.1497,New York, United States
201204,116.388,39.9289,Beijing, Beijing, China
201204,114.615,-28.779,Geraldton, Western Australia, Australia
201204,81.85,25.45,Allahabad, Uttar Pradesh, India
201204,-112.022,43.408,Indian, Idaho, United States
201204,144.967,-37.8167,Melbourne, Victoria, Australia
201204,153.017,-27.5,Brisbane, Queensland, Australia
201204,105.77,-5.97021,Sunda Strait, Indonesia (general), Indonesia
201204,133,-27.0,Australia
201204,105.77,-5.97021,Sunda Strait, Indonesia (general), Indonesia
201204,105.77,-5.97021,Sunda Strait, Indonesia (general), Indonesia
201204,127.666,-18.2248,Halls Creek, Western Australia, Australia
201204,133,-27.0,Australia
201204,105.77,-5.97021,Sunda Strait, Indonesia (general), Indonesia
201204,105.77,-5.97021,Sunda Strait, Indonesia (general), Indonesia
201204,116.388,39.9289,Beijing, Beijing, China
201204,116.388,39.9289,Beijing, Beijing, China
201204,12.7,47.1,Pasterze, Käten, Austria
201204,12.7,47.1,Pasterze, Käten, Austria
201204,49.8822,40.3953,Baku, Baki*, Azerbaijan
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,90.4086,23.7231,Dhaka, Dhaka, Bangladesh
201204,99,2.0,North Sumatra, Sumatera Utara, Indonesia
201204,96.0833,22.0,Mandalay, Mandalay, Myanmar
201204,95.85,21.7333,Meiktila, Sagain, Myanmar
201204,-74.9384,42.1497,New York, United States
201204,-73.5833,45.5,Montreal, Quebec, Canada
201204,-79.4167,43.6667,Toronto, Ontario, Canada
201204,,NULL,
201204,-122.419,37.7749,San Francisco, California, United States
201204,118.55,31.2726,Jiayuan, Anhui, China
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-95,60.0,Canada
201204,-95,60.0,Canada
201204,127.666,-18.2248,Halls Creek, Western Australia, Australia
201204,120,-5.0,Indonesia
201204,-105.365,24.8881,Bolsa, Durango, Mexico
201204,100.517,13.75,Bangkok, Krung Thep Mahanakhon, Thailand
201204,100.517,13.75,Bangkok, Krung Thep Mahanakhon, Thailand
201204,100.517,13.75,Bangkok, Krung Thep Mahanakhon, Thailand
201204,20,52.0,Poland
201204,100.517,13.75,Bangkok, Krung Thep Mahanakhon, Thailand
201204,100.517,13.75,Bangkok, Krung Thep Mahanakhon, Thailand
201204,133,-27.0,Australia
201204,-76.0013,37.2265,Arlington, Virginia, United States
201204,-78.2057,37.768,Virginia, United States
201204,-79.4167,43.6667,Toronto, Ontario, Canada
201204,13.4,52.5167,Berlin, Berlin, Germany
201204,-73.5833,45.5,Montreal, Quebec, Canada
201204,-73.5833,45.5,Montreal, Quebec, Canada
201204,13.4,52.5167,Berlin, Berlin, Germany
201204,-72,47.5,Quebec, Quebec, Canada
201204,144.888,19.4355,Northern Mariana Islands
201204,-75.7,45.4167,Ottawa, Ontario, Canada
201204,-95,60.0,Canada
201204,105,35.0,China
201204,13.4,52.5167,Berlin, Berlin, Germany
201204,-127.083,65.2333,Canol, Northwest Territories, Canada
201204,13.4,52.5167,Berlin, Berlin, Germany
201204,-72,47.5,Quebec, Quebec, Canada
201204,105,35.0,China
201204,78.1333,8.78333,Tuticorin, Tamil Nadu, India
201204,78,11.0,Tamil Nadu, Tamil Nadu, India
201204,114.615,-28.779,Geraldton, Western Australia, Australia
201204,116.388,39.9289,Beijing, Beijing, China
201204,116.388,39.9289,Beijing, Beijing, China
201204,31.25,30.05,Cairo, Al Qahirah, Egypt
201204,31.25,30.05,Cairo, Al Qahirah, Egypt
201204,12.3961,-3.42722,Goma, Niari, Congo
201204,-0.116667,51.5,London, London, City of, United Kingdom
201204,-2,54.0,United Kingdom
201204,35,-18.25,Mozambique
201204,65,33.0,Afghanistan
201204,65,33.0,Afghanistan
201204,65,33.0,Afghanistan
201204,65,33.0,Afghanistan
201204,-79.8431,35.6411,North Carolina, United States
201204,,NULL,
201204,-92.1424,45.3944,Turtle Lake, Wisconsin, United States
